学校,所在学院,URL
中山大学南方学院,文学与传媒学院,http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
广州大学,新闻与传播学院,http：//xw.gzhu.edu.cn/info/1375/1950.htm
中山大学,传播与设计学院,http://scd.sysu.edu.cn/
浙江传媒学院,媒体工程学院,http://www.cuz.edu.cn/
中山大学新华学院,艺术设计与传媒学院,https://www.xhsysu.edu.cn
